DateTime,GIC,GIC_QDC,IQR,Source
2018-03-18/21:37:42,9.46,0.1305,0.2722,Node_7
2018-03-18/21:37:43,9.49,0.1306,0.2721,Node_7
2018-03-18/21:37:44,9.53,0.1306,0.2721,Node_7
2018-03-18/21:37:45,9.54,0.1307,0.2721,Node_7
2018-03-18/21:37:46,9.59,0.1307,0.2721,Node_7
2018-03-18/21:37:47,9.61,0.1308,0.272,Node_7
2018-03-18/21:37:48,9.64,0.1308,0.272,Node_7
2018-03-18/21:37:49,9.66,0.1308,0.272,Node_7
2018-03-18/21:37:50,9.62,0.1309,0.2719,Node_7
2018-03-18/21:37:51,9.7,0.1309,0.2719,Node_7
2018-03-18/21:37:52,9.72,0.131,0.2719,Node_7
2018-03-18/21:37:53,9.75,0.131,0.2719,Node_7
2018-03-18/21:37:54,9.79,0.1311,0.2718,Node_7
2018-03-18/21:37:55,9.85,0.1311,0.2718,Node_7
2018-03-18/21:37:56,9.89,0.1312,0.2718,Node_7
2018-03-18/21:37:57,9.91,0.1312,0.2717,Node_7
2018-03-18/21:37:58,9.91,0.1312,0.2717,Node_7
2018-03-18/21:37:59,9.97,0.1313,0.2717,Node_7
2018-03-18/21:38:00,9.97,0.1313,0.2717,Node_7
2018-03-18/21:38:01,10.02,0.1314,0.2716,Node_7
2018-03-18/21:38:02,10.0,0.1314,0.2716,Node_7
2018-03-18/21:38:03,10.01,0.1315,0.2716,Node_7
2018-03-18/21:38:04,10.02,0.1315,0.2716,Node_7
2018-03-18/21:38:05,10.06,0.1316,0.2715,Node_7
2018-03-18/21:38:06,10.07,0.1316,0.2715,Node_7
2018-03-18/21:38:07,10.1,0.1316,0.2715,Node_7
2018-03-18/21:38:08,10.11,0.1317,0.2714,Node_7
2018-03-18/21:38:09,10.14,0.1317,0.2714,Node_7
2018-03-18/21:38:10,10.14,0.1318,0.2714,Node_7
2018-03-18/21:38:11,10.17,0.1318,0.2714,Node_7
2018-03-18/21:38:12,10.21,0.1319,0.2713,Node_7
2018-03-18/21:38:13,10.21,0.1319,0.2713,Node_7
2018-03-18/21:38:14,10.19,0.132,0.2713,Node_7
2018-03-18/21:38:15,10.18,0.132,0.2712,Node_7
2018-03-18/21:38:16,10.18,0.132,0.2712,Node_7
2018-03-18/21:38:17,10.18,0.1321,0.2712,Node_7
2018-03-18/21:38:18,10.22,0.1321,0.2712,Node_7
2018-03-18/21:38:19,10.21,0.1322,0.2711,Node_7
2018-03-18/21:38:20,10.23,0.1322,0.2711,Node_7
2018-03-18/21:38:21,10.25,0.1323,0.2711,Node_7
2018-03-18/21:38:22,10.27,0.1323,0.2711,Node_7
2018-03-18/21:38:23,10.28,0.1324,0.271,Node_7
2018-03-18/21:38:24,10.31,0.1324,0.271,Node_7
2018-03-18/21:38:25,10.35,0.1324,0.271,Node_7
2018-03-18/21:38:26,10.37,0.1325,0.2709,Node_7
2018-03-18/21:38:27,10.4,0.1325,0.2709,Node_7
2018-03-18/21:38:28,10.4,0.1326,0.2709,Node_7
2018-03-18/21:38:29,10.4,0.1326,0.2709,Node_7
2018-03-18/21:38:30,10.44,0.1327,0.2708,Node_7
2018-03-18/21:38:31,10.51,0.1327,0.2708,Node_7
2018-03-18/21:38:32,10.55,0.1328,0.2708,Node_7
2018-03-18/21:38:33,10.59,0.1328,0.2708,Node_7
2018-03-18/21:38:34,10.61,0.1328,0.2707,Node_7
2018-03-18/21:38:35,10.68,0.1329,0.2707,Node_7
2018-03-18/21:38:36,10.73,0.1329,0.2707,Node_7
2018-03-18/21:38:37,10.74,0.133,0.2706,Node_7
2018-03-18/21:38:38,10.8,0.133,0.2706,Node_7
2018-03-18/21:38:39,10.85,0.1331,0.2706,Node_7
2018-03-18/21:38:40,10.91,0.1331,0.2706,Node_7
2018-03-18/21:38:41,10.95,0.1332,0.2705,Node_7
2018-03-18/21:38:42,11.01,0.1332,0.2705,Node_7
2018-03-18/21:38:43,10.99,0.1332,0.2705,Node_7
2018-03-18/21:38:44,11.03,0.1333,0.2704,Node_7
2018-03-18/21:38:45,11.07,0.1333,0.2704,Node_7
2018-03-18/21:38:46,11.08,0.1334,0.2704,Node_7
2018-03-18/21:38:47,11.11,0.1334,0.2704,Node_7
2018-03-18/21:38:48,11.13,0.1335,0.2703,Node_7
2018-03-18/21:38:49,11.21,0.1335,0.2703,Node_7
2018-03-18/21:38:50,11.23,0.1336,0.2703,Node_7
2018-03-18/21:38:51,11.29,0.1336,0.2702,Node_7
2018-03-18/21:38:52,11.31,0.1336,0.2702,Node_7
2018-03-18/21:38:53,11.34,0.1337,0.2702,Node_7
2018-03-18/21:38:54,11.37,0.1337,0.2702,Node_7
2018-03-18/21:38:55,11.42,0.1338,0.2701,Node_7
2018-03-18/21:38:56,11.44,0.1338,0.2701,Node_7
2018-03-18/21:38:57,11.47,0.1339,0.2701,Node_7
2018-03-18/21:38:58,11.45,0.1339,0.2701,Node_7
2018-03-18/21:38:59,11.49,0.134,0.27,Node_7
2018-03-18/21:39:00,11.51,0.134,0.27,Node_7
2018-03-18/21:39:01,11.5,0.134,0.27,Node_7
2018-03-18/21:39:02,11.55,0.1341,0.2699,Node_7
2018-03-18/21:39:03,11.56,0.1341,0.2699,Node_7
2018-03-18/21:39:04,11.52,0.1342,0.2699,Node_7
2018-03-18/21:39:05,11.53,0.1342,0.2699,Node_7
2018-03-18/21:39:06,11.53,0.1343,0.2698,Node_7
2018-03-18/21:39:07,11.52,0.1343,0.2698,Node_7
2018-03-18/21:39:08,11.53,0.1344,0.2698,Node_7
2018-03-18/21:39:09,11.53,0.1344,0.2697,Node_7
2018-03-18/21:39:10,11.49,0.1344,0.2697,Node_7
2018-03-18/21:39:11,11.53,0.1345,0.2697,Node_7
2018-03-18/21:39:12,11.55,0.1345,0.2697,Node_7
2018-03-18/21:39:13,11.52,0.1346,0.2696,Node_7
2018-03-18/21:39:14,11.54,0.1346,0.2696,Node_7
2018-03-18/21:39:15,11.53,0.1347,0.2696,Node_7
2018-03-18/21:39:16,11.51,0.1347,0.2696,Node_7
2018-03-18/21:39:17,11.53,0.1348,0.2695,Node_7
2018-03-18/21:39:18,11.55,0.1348,0.2695,Node_7
2018-03-18/21:39:19,11.58,0.1348,0.2695,Node_7
2018-03-18/21:39:20,11.56,0.1349,0.2694,Node_7
2018-03-18/21:39:21,11.6,0.1349,0.2694,Node_7
2018-03-18/21:39:22,11.6,0.135,0.2694,Node_7
2018-03-18/21:39:23,11.62,0.135,0.2694,Node_7
2018-03-18/21:39:24,11.63,0.1351,0.2693,Node_7
2018-03-18/21:39:25,11.66,0.1351,0.2693,Node_7
2018-03-18/21:39:26,11.65,0.1352,0.2693,Node_7
2018-03-18/21:39:27,11.7,0.1352,0.2693,Node_7
2018-03-18/21:39:28,11.7,0.1352,0.2692,Node_7
2018-03-18/21:39:29,11.71,0.1353,0.2692,Node_7
2018-03-18/21:39:30,11.71,0.1353,0.2692,Node_7
2018-03-18/21:39:31,11.73,0.1354,0.2691,Node_7
2018-03-18/21:39:32,11.75,0.1354,0.2691,Node_7
2018-03-18/21:39:33,11.77,0.1355,0.2691,Node_7
2018-03-18/21:39:34,11.78,0.1355,0.2691,Node_7
2018-03-18/21:39:35,11.79,0.1356,0.269,Node_7
2018-03-18/21:39:36,11.79,0.1356,0.269,Node_7
2018-03-18/21:39:37,11.79,0.1356,0.269,Node_7
2018-03-18/21:39:38,11.79,0.1357,0.2689,Node_7
2018-03-18/21:39:39,11.8,0.1357,0.2689,Node_7
2018-03-18/21:39:40,11.76,0.1358,0.2689,Node_7
2018-03-18/21:39:41,11.8,0.1358,0.2689,Node_7
2018-03-18/21:39:42,11.78,0.1359,0.2688,Node_7
2018-03-18/21:39:43,11.77,0.1359,0.2688,Node_7
2018-03-18/21:39:44,11.74,0.136,0.2688,Node_7
2018-03-18/21:39:45,11.74,0.136,0.2688,Node_7
2018-03-18/21:39:46,11.69,0.136,0.2687,Node_7
2018-03-18/21:39:47,11.72,0.1361,0.2687,Node_7
2018-03-18/21:39:48,11.68,0.1361,0.2687,Node_7
2018-03-18/21:39:49,11.64,0.1362,0.2686,Node_7
2018-03-18/21:39:50,11.61,0.1362,0.2686,Node_7
2018-03-18/21:39:51,11.63,0.1363,0.2686,Node_7
2018-03-18/21:39:52,11.6,0.1363,0.2686,Node_7
2018-03-18/21:39:53,11.63,0.1364,0.2685,Node_7
2018-03-18/21:39:54,11.62,0.1364,0.2685,Node_7
2018-03-18/21:39:55,11.61,0.1364,0.2685,Node_7
2018-03-18/21:39:56,11.58,0.1365,0.2684,Node_7
2018-03-18/21:39:57,11.56,0.1365,0.2684,Node_7
2018-03-18/21:39:58,11.56,0.1366,0.2684,Node_7
2018-03-18/21:39:59,11.54,0.1366,0.2684,Node_7
2018-03-18/21:40:00,11.51,0.1367,0.2683,Node_7
2018-03-18/21:40:01,11.51,0.1367,0.2683,Node_7
2018-03-18/21:40:02,11.46,0.1368,0.2683,Node_7
2018-03-18/21:40:03,11.42,0.1368,0.2682,Node_7
2018-03-18/21:40:04,11.4,0.1368,0.2682,Node_7
2018-03-18/21:40:05,11.4,0.1369,0.2682,Node_7
2018-03-18/21:40:06,11.34,0.1369,0.2682,Node_7
2018-03-18/21:40:07,11.34,0.137,0.2681,Node_7
2018-03-18/21:40:08,11.34,0.137,0.2681,Node_7
2018-03-18/21:40:09,11.31,0.1371,0.2681,Node_7
2018-03-18/21:40:10,11.33,0.1371,0.2681,Node_7
2018-03-18/21:40:11,11.28,0.1372,0.268,Node_7
2018-03-18/21:40:12,11.28,0.1372,0.268,Node_7
2018-03-18/21:40:13,11.26,0.1372,0.268,Node_7
2018-03-18/21:40:14,11.24,0.1373,0.2679,Node_7
2018-03-18/21:40:15,11.21,0.1373,0.2679,Node_7
2018-03-18/21:40:16,11.23,0.1374,0.2679,Node_7
2018-03-18/21:40:17,11.23,0.1374,0.2679,Node_7
2018-03-18/21:40:18,11.22,0.1375,0.2678,Node_7
2018-03-18/21:40:19,11.18,0.1375,0.2678,Node_7
2018-03-18/21:40:20,11.13,0.1376,0.2678,Node_7
2018-03-18/21:40:21,11.12,0.1376,0.2677,Node_7
2018-03-18/21:40:22,11.08,0.1376,0.2677,Node_7
2018-03-18/21:40:23,11.03,0.1377,0.2677,Node_7
2018-03-18/21:40:24,10.99,0.1377,0.2677,Node_7
2018-03-18/21:40:25,10.94,0.1378,0.2676,Node_7
2018-03-18/21:40:26,10.91,0.1378,0.2676,Node_7
2018-03-18/21:40:27,10.87,0.1379,0.2676,Node_7
2018-03-18/21:40:28,10.84,0.1379,0.2676,Node_7
2018-03-18/21:40:29,10.77,0.138,0.2675,Node_7
2018-03-18/21:40:30,10.69,0.138,0.2675,Node_7
2018-03-18/21:40:31,10.61,0.138,0.2675,Node_7
2018-03-18/21:40:32,10.58,0.1381,0.2674,Node_7
2018-03-18/21:40:33,10.51,0.1381,0.2674,Node_7
2018-03-18/21:40:34,10.44,0.1382,0.2674,Node_7
2018-03-18/21:40:35,10.36,0.1382,0.2674,Node_7
2018-03-18/21:40:36,10.33,0.1383,0.2673,Node_7
2018-03-18/21:40:37,10.27,0.1383,0.2673,Node_7
2018-03-18/21:40:38,10.23,0.1384,0.2673,Node_7
2018-03-18/21:40:39,10.18,0.1384,0.2673,Node_7
2018-03-18/21:40:40,10.13,0.1384,0.2672,Node_7
2018-03-18/21:40:41,10.1,0.1385,0.2672,Node_7
2018-03-18/21:40:42,10.03,0.1385,0.2672,Node_7
2018-03-18/21:40:43,9.98,0.1386,0.2671,Node_7
2018-03-18/21:40:44,9.96,0.1386,0.2671,Node_7
2018-03-18/21:40:45,9.9,0.1387,0.2671,Node_7
2018-03-18/21:40:46,9.83,0.1387,0.2671,Node_7
2018-03-18/21:40:47,9.79,0.1388,0.267,Node_7
2018-03-18/21:40:48,9.74,0.1388,0.267,Node_7
2018-03-18/21:40:49,9.65,0.1388,0.267,Node_7
2018-03-18/21:40:50,9.58,0.1389,0.2669,Node_7
2018-03-18/21:40:51,9.57,0.1389,0.2669,Node_7
2018-03-18/21:40:52,9.5,0.139,0.2669,Node_7
2018-03-18/21:40:53,9.44,0.139,0.2669,Node_7
2018-03-18/21:40:54,9.38,0.1391,0.2668,Node_7
2018-03-18/21:40:55,9.32,0.1391,0.2668,Node_7
2018-03-18/21:40:56,9.22,0.1392,0.2668,Node_7
2018-03-18/21:40:57,9.18,0.1392,0.2667,Node_7
2018-03-18/21:40:58,9.14,0.1392,0.2667,Node_7
2018-03-18/21:40:59,9.06,0.1393,0.2667,Node_7
2018-03-18/21:41:00,9.02,0.1393,0.2667,Node_7
2018-03-18/21:41:01,8.96,0.1394,0.2666,Node_7
2018-03-18/21:41:02,8.91,0.1394,0.2666,Node_7
2018-03-18/21:41:03,8.83,0.1395,0.2666,Node_7
2018-03-18/21:41:04,8.78,0.1395,0.2666,Node_7
2018-03-18/21:41:05,8.68,0.1396,0.2665,Node_7
2018-03-18/21:41:06,8.62,0.1396,0.2665,Node_7
2018-03-18/21:41:07,8.57,0.1396,0.2665,Node_7
2018-03-18/21:41:08,8.52,0.1397,0.2664,Node_7
2018-03-18/21:41:09,8.47,0.1397,0.2664,Node_7
2018-03-18/21:41:10,8.4,0.1398,0.2664,Node_7
2018-03-18/21:41:11,8.3,0.1398,0.2664,Node_7
2018-03-18/21:41:12,8.3,0.1399,0.2663,Node_7
2018-03-18/21:41:13,8.23,0.1399,0.2663,Node_7
2018-03-18/21:41:14,8.16,0.14,0.2663,Node_7
2018-03-18/21:41:15,8.07,0.14,0.2662,Node_7
2018-03-18/21:41:16,8.01,0.14,0.2662,Node_7
2018-03-18/21:41:17,7.97,0.1401,0.2662,Node_7
2018-03-18/21:41:18,7.86,0.1401,0.2662,Node_7
2018-03-18/21:41:19,7.83,0.1402,0.2661,Node_7
2018-03-18/21:41:20,7.77,0.1402,0.2661,Node_7
2018-03-18/21:41:21,7.72,0.1403,0.2661,Node_7
2018-03-18/21:41:22,7.68,0.1403,0.2661,Node_7
2018-03-18/21:41:23,7.66,0.1404,0.266,Node_7
2018-03-18/21:41:24,7.61,0.1404,0.266,Node_7
2018-03-18/21:41:25,7.55,0.1404,0.266,Node_7
2018-03-18/21:41:26,7.49,0.1405,0.2659,Node_7
2018-03-18/21:41:27,7.42,0.1405,0.2659,Node_7
2018-03-18/21:41:28,7.4,0.1406,0.2659,Node_7
2018-03-18/21:41:29,7.35,0.1406,0.2659,Node_7
2018-03-18/21:41:30,7.29,0.1407,0.2658,Node_7
2018-03-18/21:41:31,7.26,0.1407,0.2658,Node_7
2018-03-18/21:41:32,7.22,0.1408,0.2658,Node_7
2018-03-18/21:41:33,7.16,0.1408,0.2658,Node_7
2018-03-18/21:41:34,7.11,0.1408,0.2657,Node_7
2018-03-18/21:41:35,7.06,0.1409,0.2657,Node_7
2018-03-18/21:41:36,7.04,0.1409,0.2657,Node_7
2018-03-18/21:41:37,7.0,0.141,0.2656,Node_7
2018-03-18/21:41:38,6.97,0.141,0.2656,Node_7
2018-03-18/21:41:39,6.91,0.1411,0.2656,Node_7
2018-03-18/21:41:40,6.84,0.1411,0.2656,Node_7
2018-03-18/21:41:41,6.85,0.1412,0.2655,Node_7
2018-03-18/21:41:42,6.79,0.1412,0.2655,Node_7
2018-03-18/21:41:43,6.74,0.1412,0.2655,Node_7
2018-03-18/21:41:44,6.71,0.1413,0.2654,Node_7
2018-03-18/21:41:45,6.67,0.1413,0.2654,Node_7
2018-03-18/21:41:46,6.63,0.1414,0.2654,Node_7
2018-03-18/21:41:47,6.59,0.1414,0.2654,Node_7
2018-03-18/21:41:48,6.55,0.1415,0.2653,Node_7
2018-03-18/21:41:49,6.53,0.1415,0.2653,Node_7
2018-03-18/21:41:50,6.47,0.1416,0.2653,Node_7
2018-03-18/21:41:51,6.44,0.1416,0.2653,Node_7
2018-03-18/21:41:52,6.39,0.1416,0.2652,Node_7
2018-03-18/21:41:53,6.35,0.1417,0.2652,Node_7
2018-03-18/21:41:54,6.29,0.1417,0.2652,Node_7
2018-03-18/21:41:55,6.24,0.1418,0.2651,Node_7
2018-03-18/21:41:56,6.22,0.1418,0.2651,Node_7
2018-03-18/21:41:57,6.18,0.1419,0.2651,Node_7
2018-03-18/21:41:58,6.13,0.1419,0.2651,Node_7
2018-03-18/21:41:59,6.11,0.142,0.265,Node_7
2018-03-18/21:42:00,6.04,0.142,0.265,Node_7
2018-03-18/21:42:01,6.01,0.142,0.265,Node_7
2018-03-18/21:42:02,5.96,0.1421,0.2649,Node_7
2018-03-18/21:42:03,5.89,0.1421,0.2649,Node_7
2018-03-18/21:42:04,5.85,0.1422,0.2649,Node_7
2018-03-18/21:42:05,5.8,0.1422,0.2649,Node_7
2018-03-18/21:42:06,5.76,0.1423,0.2648,Node_7
2018-03-18/21:42:07,5.69,0.1423,0.2648,Node_7
2018-03-18/21:42:08,5.63,0.1424,0.2648,Node_7
2018-03-18/21:42:09,5.6,0.1424,0.2647,Node_7
2018-03-18/21:42:10,5.58,0.1424,0.2647,Node_7
2018-03-18/21:42:11,5.51,0.1425,0.2647,Node_7
2018-03-18/21:42:12,5.45,0.1425,0.2647,Node_7
2018-03-18/21:42:13,5.38,0.1426,0.2646,Node_7
2018-03-18/21:42:14,5.35,0.1426,0.2646,Node_7
2018-03-18/21:42:15,5.25,0.1427,0.2646,Node_7
2018-03-18/21:42:16,5.21,0.1427,0.2646,Node_7
2018-03-18/21:42:17,5.17,0.1428,0.2645,Node_7
2018-03-18/21:42:18,5.13,0.1428,0.2645,Node_7
2018-03-18/21:42:19,5.12,0.1428,0.2645,Node_7
2018-03-18/21:42:20,5.1,0.1429,0.2644,Node_7
2018-03-18/21:42:21,5.04,0.1429,0.2644,Node_7
2018-03-18/21:42:22,5.01,0.143,0.2644,Node_7
2018-03-18/22:13:09,5.02,0.0655,0.4008,Node_7
2018-03-18/22:13:10,5.04,0.0655,0.4008,Node_7
2018-03-18/22:13:11,5.04,0.0654,0.4009,Node_7
2018-03-18/22:13:12,5.07,0.0654,0.401,Node_7
2018-03-18/22:13:13,5.06,0.0653,0.4011,Node_7
2018-03-18/22:13:14,5.11,0.0653,0.4012,Node_7
2018-03-18/22:13:15,5.13,0.0652,0.4013,Node_7
2018-03-18/22:13:16,5.16,0.0652,0.4013,Node_7
2018-03-18/22:13:17,5.16,0.0651,0.4014,Node_7
2018-03-18/22:13:18,5.2,0.0651,0.4015,Node_7
2018-03-18/22:13:19,5.24,0.065,0.4016,Node_7
2018-03-18/22:13:20,5.25,0.065,0.4017,Node_7
2018-03-18/22:13:21,5.26,0.0649,0.4018,Node_7
2018-03-18/22:13:22,5.29,0.0649,0.4018,Node_7
2018-03-18/22:13:23,5.29,0.0648,0.4019,Node_7
2018-03-18/22:13:24,5.32,0.0648,0.402,Node_7
2018-03-18/22:13:25,5.35,0.0647,0.4021,Node_7
2018-03-18/22:13:26,5.37,0.0647,0.4022,Node_7
2018-03-18/22:13:27,5.37,0.0646,0.4023,Node_7
2018-03-18/22:13:28,5.4,0.0646,0.4023,Node_7
2018-03-18/22:13:29,5.42,0.0645,0.4024,Node_7
2018-03-18/22:13:30,5.39,0.0645,0.4025,Node_7
2018-03-18/22:13:31,5.41,0.0644,0.4026,Node_7
2018-03-18/22:13:32,5.43,0.0644,0.4027,Node_7
2018-03-18/22:13:33,5.43,0.0643,0.4028,Node_7
2018-03-18/22:13:34,5.44,0.0643,0.4028,Node_7
2018-03-18/22:13:35,5.43,0.0642,0.4029,Node_7
2018-03-18/22:13:36,5.41,0.0642,0.403,Node_7
2018-03-18/22:13:37,5.41,0.0641,0.4031,Node_7
2018-03-18/22:13:38,5.39,0.0641,0.4032,Node_7
2018-03-18/22:13:39,5.39,0.064,0.4033,Node_7
2018-03-18/22:13:40,5.4,0.064,0.4033,Node_7
2018-03-18/22:13:41,5.37,0.0639,0.4034,Node_7
2018-03-18/22:13:42,5.34,0.0639,0.4035,Node_7
2018-03-18/22:13:43,5.35,0.0638,0.4036,Node_7
2018-03-18/22:13:44,5.33,0.0638,0.4037,Node_7
2018-03-18/22:13:45,5.35,0.0637,0.4038,Node_7
2018-03-18/22:13:46,5.31,0.0637,0.4038,Node_7
2018-03-18/22:13:47,5.31,0.0636,0.4039,Node_7
2018-03-18/22:13:48,5.29,0.0636,0.404,Node_7
2018-03-18/22:13:49,5.26,0.0635,0.4041,Node_7
2018-03-18/22:13:50,5.24,0.0635,0.4042,Node_7
2018-03-18/22:13:51,5.25,0.0634,0.4043,Node_7
2018-03-18/22:13:52,5.24,0.0634,0.4043,Node_7
2018-03-18/22:13:53,5.24,0.0633,0.4044,Node_7
2018-03-18/22:13:54,5.21,0.0633,0.4045,Node_7
2018-03-18/22:13:55,5.21,0.0632,0.4046,Node_7
2018-03-18/22:13:56,5.21,0.0632,0.4047,Node_7
2018-03-18/22:13:57,5.18,0.0631,0.4048,Node_7
2018-03-18/22:13:58,5.16,0.0631,0.4048,Node_7
2018-03-18/22:13:59,5.13,0.063,0.4049,Node_7
2018-03-18/22:14:00,5.16,0.063,0.405,Node_7
2018-03-18/22:14:01,5.13,0.0629,0.4051,Node_7
2018-03-18/22:14:02,5.13,0.0629,0.4052,Node_7
2018-03-18/22:14:03,5.09,0.0628,0.4053,Node_7
2018-03-18/22:14:04,5.07,0.0628,0.4053,Node_7
2018-03-18/22:14:05,5.04,0.0627,0.4054,Node_7
2018-03-18/22:14:06,5.02,0.0627,0.4055,Node_7
2018-03-19/01:45:17,5.02,-0.008,0.5189,Node_7
2018-03-19/01:45:18,5.02,-0.0079,0.5188,Node_7
2018-03-19/01:45:19,5.08,-0.0078,0.5187,Node_7
2018-03-19/01:45:20,5.09,-0.0077,0.5187,Node_7
2018-03-19/01:45:21,5.13,-0.0075,0.5186,Node_7
2018-03-19/01:45:22,5.14,-0.0074,0.5185,Node_7
2018-03-19/01:45:23,5.18,-0.0073,0.5185,Node_7
2018-03-19/01:45:24,5.2,-0.0072,0.5184,Node_7
2018-03-19/01:45:25,5.21,-0.0071,0.5183,Node_7
2018-03-19/01:45:26,5.2,-0.007,0.5183,Node_7
2018-03-19/01:45:27,5.17,-0.0068,0.5182,Node_7
2018-03-19/01:45:28,5.11,-0.0067,0.5181,Node_7
2018-03-19/01:45:29,5.04,-0.0066,0.5181,Node_7
2018-03-19/01:45:30,5.03,-0.0065,0.518,Node_7
2018-03-19/01:45:39,5.01,-0.0055,0.5174,Node_7
2018-03-19/01:45:40,5.03,-0.0053,0.5173,Node_7
2018-03-19/01:45:41,5.07,-0.0052,0.5173,Node_7
2018-03-19/01:45:42,5.1,-0.0051,0.5172,Node_7
2018-03-19/01:45:43,5.15,-0.005,0.5171,Node_7
2018-03-19/01:45:44,5.16,-0.0049,0.5171,Node_7
2018-03-19/01:45:45,5.14,-0.0047,0.517,Node_7
2018-03-19/01:45:46,5.14,-0.0046,0.5169,Node_7
2018-03-19/01:45:47,5.13,-0.0045,0.5169,Node_7
2018-03-19/01:45:48,5.14,-0.0044,0.5168,Node_7
2018-03-19/01:45:49,5.17,-0.0043,0.5167,Node_7
2018-03-19/01:45:50,5.21,-0.0042,0.5167,Node_7
2018-03-19/01:45:51,5.26,-0.004,0.5166,Node_7
2018-03-19/01:45:52,5.34,-0.0039,0.5165,Node_7
2018-03-19/01:45:53,5.34,-0.0038,0.5165,Node_7
2018-03-19/01:45:54,5.39,-0.0037,0.5164,Node_7
2018-03-19/01:45:55,5.4,-0.0036,0.5163,Node_7
2018-03-19/01:45:56,5.44,-0.0035,0.5163,Node_7
2018-03-19/01:45:57,5.47,-0.0033,0.5162,Node_7
2018-03-19/01:45:58,5.49,-0.0032,0.5161,Node_7
2018-03-19/01:45:59,5.48,-0.0031,0.5161,Node_7
2018-03-19/01:46:00,5.53,-0.003,0.516,Node_7
2018-03-19/01:46:01,5.52,-0.0029,0.5159,Node_7
2018-03-19/01:46:02,5.5,-0.0028,0.5159,Node_7
2018-03-19/01:46:03,5.51,-0.0026,0.5158,Node_7
2018-03-19/01:46:04,5.46,-0.0025,0.5157,Node_7
2018-03-19/01:46:05,5.45,-0.0024,0.5157,Node_7
2018-03-19/01:46:06,5.4,-0.0023,0.5156,Node_7
2018-03-19/01:46:07,5.39,-0.0022,0.5155,Node_7
2018-03-19/01:46:08,5.36,-0.0021,0.5155,Node_7
2018-03-19/01:46:09,5.37,-0.0019,0.5154,Node_7
2018-03-19/01:46:10,5.38,-0.0018,0.5153,Node_7
2018-03-19/01:46:11,5.35,-0.0017,0.5153,Node_7
2018-03-19/01:46:12,5.36,-0.0016,0.5152,Node_7
2018-03-19/01:46:13,5.34,-0.0015,0.5151,Node_7
2018-03-19/01:46:14,5.32,-0.0014,0.5151,Node_7
2018-03-19/01:46:15,5.32,-0.0012,0.515,Node_7
2018-03-19/01:46:16,5.31,-0.0011,0.5149,Node_7
2018-03-19/01:46:17,5.36,-0.001,0.5149,Node_7
2018-03-19/01:46:18,5.33,-0.0009,0.5148,Node_7
2018-03-19/01:46:19,5.36,-0.0008,0.5147,Node_7
2018-03-19/01:46:20,5.34,-0.0007,0.5147,Node_7
2018-03-19/01:46:21,5.34,-0.0005,0.5146,Node_7
2018-03-19/01:46:22,5.37,-0.0004,0.5145,Node_7
2018-03-19/01:46:23,5.39,-0.0003,0.5145,Node_7
2018-03-19/01:46:24,5.4,-0.0002,0.5144,Node_7
2018-03-19/01:46:25,5.45,-0.0001,0.5143,Node_7
2018-03-19/01:46:26,5.45,0.0,0.5143,Node_7
2018-03-19/01:46:27,5.46,0.0002,0.5142,Node_7
2018-03-19/01:46:28,5.43,0.0003,0.5141,Node_7
2018-03-19/01:46:29,5.46,0.0004,0.5141,Node_7
2018-03-19/01:46:30,5.45,0.0005,0.514,Node_7
2018-03-19/01:46:31,5.43,0.0006,0.5139,Node_7
2018-03-19/01:46:32,5.42,0.0007,0.5139,Node_7
2018-03-19/01:46:33,5.38,0.0008,0.5138,Node_7
2018-03-19/01:46:34,5.38,0.001,0.5137,Node_7
2018-03-19/01:46:35,5.36,0.0011,0.5137,Node_7
2018-03-19/01:46:36,5.35,0.0012,0.5136,Node_7
2018-03-19/01:46:37,5.29,0.0013,0.5135,Node_7
2018-03-19/01:46:38,5.28,0.0014,0.5135,Node_7
2018-03-19/01:46:39,5.24,0.0016,0.5134,Node_7
2018-03-19/01:46:40,5.19,0.0017,0.5133,Node_7
2018-03-19/01:46:41,5.16,0.0018,0.5133,Node_7
2018-03-19/01:46:42,5.11,0.0019,0.5132,Node_7
2018-03-19/01:46:43,5.05,0.002,0.5131,Node_7
2018-03-23/22:53:51,5.01,0.0452,0.3513,Node_7
2018-03-23/22:53:52,5.1,0.0452,0.3514,Node_7
2018-03-23/22:53:53,5.18,0.0452,0.3515,Node_7
2018-03-23/22:53:54,5.23,0.0452,0.3515,Node_7
2018-03-23/22:53:55,5.3,0.0451,0.3516,Node_7
2018-03-23/22:53:56,5.33,0.0451,0.3517,Node_7
2018-03-23/22:53:57,5.39,0.0451,0.3518,Node_7
2018-03-23/22:53:58,5.49,0.0451,0.3518,Node_7
2018-03-23/22:53:59,5.52,0.045,0.3519,Node_7
2018-03-23/22:54:00,5.57,0.045,0.352,Node_7
2018-03-23/22:54:01,5.65,0.045,0.3521,Node_7
2018-03-23/22:54:02,5.67,0.0449,0.3522,Node_7
2018-03-23/22:54:03,5.74,0.0449,0.3522,Node_7
2018-03-23/22:54:04,5.81,0.0449,0.3523,Node_7
2018-03-23/22:54:05,5.83,0.0449,0.3524,Node_7
2018-03-23/22:54:06,5.88,0.0448,0.3525,Node_7
2018-03-23/22:54:07,5.86,0.0448,0.3525,Node_7
2018-03-23/22:54:08,5.88,0.0448,0.3526,Node_7
2018-03-23/22:54:09,5.92,0.0448,0.3527,Node_7
